codigo_ordem_producao,materia_prima,quantidade,unidade_medida,lote
4707,MP 372,0.27303,KG,091324
4707,MP 377,0.38015,KG,674369
4707,MP 388,2.12123,KG,090786
4707,MP 401,0.07141,KG,576940015933108
4707,MP 421,2.9971,KG,NH108055
4708,MP 326,1.028,KG,FFE/H-05/2022
4708,MP 350,5.76,KG,9220325081
4708,MP 357,4.43907,KG,10010012701
4708,MP 357,8.28093,KG,100100221002
4708,MP 371,0.104,KG,202206010
4708,MP 372,0.0512,KG,091324
4708,MP 377,0.96,KG,674369
4708,MP 388,1.85648,KG,090786
4708,MP 401,0.18,KG,576940015933108
4709,MP 326,1.028,KG,FFE/H-05/2022
4709,MP 350,5.76,KG,9220325081
4709,MP 357,12.72,KG,100100221002
4709,MP 371,0.104,KG,202206010
4709,MP 372,0.0512,KG,091324
4709,MP 377,0.96,KG,674369
4709,MP 388,1.85648,KG,090786
4709,MP 401,0.18,KG,576940015933108
4710,MP 326,1.028,KG,FFE/H-05/2022
4710,MP 350,5.76,KG,9220325081
4710,MP 357,12.72,KG,100100221002
4710,MP 371,0.104,KG,202206010
4710,MP 372,0.0512,KG,091324
4710,MP 377,0.96,KG,674369
4710,MP 388,1.85648,KG,090786
4710,MP 401,0.18,KG,576940015933108
4711,MP 365,0.05,KG,090701
4711,MP 376,2.75,KG,20220824024
4711,MP 385,0.2,KG,2211123861/001
4711,MP 410,0.05,KG,20201205RA-50
4711,MP 428,0.05,KG,2208115446
4711,MPHM14,0.15,KG,RU009/22
4711,MP 455,2.5,KG,221031
4711,MP 456,3.225,KG,221018
4711,MP 457,11.025,KG,AHB004
4711,MP 500,3.0,KG,084CX
4711,MP 541,2.0,KG,222283411
4712,MP 365,0.05,KG,090701
4712,MP 376,2.75,KG,20220824024
4712,MP 385,0.2,KG,2211123861/001
4712,MP 410,0.05,KG,20201205RA-50
4712,MP 428,0.05,KG,2208115446
4712,MPHM14,0.15,KG,RU009/22
4712,MP 455,2.5,KG,221031
4712,MP 456,3.225,KG,221018
4712,MP 457,11.025,KG,AHB004
4712,MP 500,3.0,KG,084CX
4712,MP 541,2.0,KG,222283411
4713,MP 365,0.05,KG,090701
4713,MP 376,2.75,KG,20220824024
4713,MP 385,0.2,KG,2211123861/001
